Root File,File Name,Total Groups
18 y 19 nov sotto ,48000Hz16__19_11_18__19-27-32_23.39,1
18 y 19 nov sotto ,48000Hz16__20_11_18__10-1-24_23.20,0
18 y 19 nov sotto ,48000Hz16__19_11_18__18-6-36_23.47,1
18 y 19 nov sotto ,48000Hz16__19_11_18__12-45-9_24.77,3
18 y 19 nov sotto ,48000Hz16__20_11_18__10-25-54_23.25,3
18 y 19 nov sotto ,48000Hz16__20_11_18__0-39-28_23.3,1
18 y 19 nov sotto ,48000Hz16__19_11_18__18-38-59_23.44,1
18 y 19 nov sotto ,48000Hz16__20_11_18__1-12-1_22.98,0
18 y 19 nov sotto ,48000Hz16__19_11_18__17-34-18_23.45,4
18 y 19 nov sotto ,48000Hz16__19_11_18__13-45-48_23.17,10
18 y 19 nov sotto ,48000Hz16__19_11_18__18-16-43_23.43,1
18 y 19 nov sotto ,48000Hz16__20_11_18__1-54-38_22.94,1
18 y 19 nov sotto ,48000Hz16__19_11_18__14-52-33_23.23,1
18 y 19 nov sotto ,48000Hz16__19_11_18__19-29-33_23.35,1
18 y 19 nov sotto ,48000Hz16__19_11_18__23-36-42_23.9,0
18 y 19 nov sotto ,48000Hz16__19_11_18__19-5-15_23.39,0
18 y 19 nov sotto ,48000Hz16__19_11_18__20-58-41_23.27,4
18 y 19 nov sotto ,48000Hz16__20_11_18__10-23-51_23.25,2
18 y 19 nov sotto ,48000Hz16__19_11_18__17-40-21_23.46,1
18 y 19 nov sotto ,48000Hz16__19_11_18__15-14-45_23.28,1
18 y 19 nov sotto ,48000Hz16__19_11_18__17-38-20_23.44,1
18 y 19 nov sotto ,48000Hz16__20_11_18__1-24-10_22.98,0
18 y 19 nov sotto ,48000Hz16__19_11_18__15-28-56_23.34,0
18 y 19 nov sotto ,48000Hz16__19_11_18__22-52-9_23.14,0
18 y 19 nov sotto ,48000Hz16__20_11_18__10-11-37_23.22,14
18 y 19 nov sotto ,48000Hz16__19_11_18__15-4-39_23.23,1
18 y 19 nov sotto ,48000Hz16__19_11_18__14-18-6_23.16,1
18 y 19 nov sotto ,48000Hz16__19_11_18__23-2-15_23.13,1
18 y 19 nov sotto ,48000Hz16__19_11_18__22-19-44_23.17,11
18 y 19 nov sotto ,48000Hz16__20_11_18__1-1-52_22.99,0
18 y 19 nov sotto ,48000Hz16__19_11_18__14-48-30_23.23,0
18 y 19 nov sotto ,48000Hz16__20_11_18__0-21-13_23.4,0
18 y 19 nov sotto ,48000Hz16__19_11_18__22-9-37_23.18,0
18 y 19 nov sotto ,48000Hz16__20_11_18__0-11-4_23.4,1
18 y 19 nov sotto ,48000Hz16__19_11_18__21-8-48_23.25,0
18 y 19 nov sotto ,48000Hz16__20_11_18__1-42-27_22.95,1
18 y 19 nov sotto ,48000Hz16__19_11_18__23-26-35_23.9,0
18 y 19 nov sotto ,48000Hz16__19_11_18__14-46-28_23.21,1
18 y 19 nov sotto ,48000Hz16__19_11_18__14-22-8_23.17,0
18 y 19 nov sotto ,48000Hz16__19_11_18__20-18-4_23.30,0
18 y 19 nov sotto ,48000Hz16__19_11_18__23-52-51_23.6,1
