recording,whistle_type_chr,start_time,end_time,recording_duration,whistle_type,whistle_name
Exp_17_Dec_2019_1545pm,SW_Neo_Category_20,268.066996621149,268.890769190594,3300,1,Whistle1000
Exp_17_Feb_2020_1345pm,SW_Neo_Category_20,788.050282698624,788.592322172308,3300,1,Whistle1021
Exp_17_Feb_2020_1345pm,SW_Neo_Category_20,945.863692701942,946.812828422007,3300,1,Whistle1025
Exp_17_Feb_2020_1545pm,SW_Neo_Category_20,546.909307033319,547.536608749006,3300,1,Whistle1031
Exp_17_Feb_2020_1545pm,SW_Neo_Category_20,549.128340149363,549.876608305788,3300,1,Whistle1032
Exp_17_Jan_2020_1545pm,SW_Neo_Category_20,534.967326320426,536.026577421747,3300,1,Whistle1050
Exp_17_Nov_2019_1545pm,SW_Neo_Category_20,504.358214274038,505.10634614217,3600,1,Whistle1082
Exp_17_Nov_2019_1545pm,SW_Neo_Category_20,661.327558906398,661.764550410123,3600,1,Whistle1088
Exp_18_Nov_2019_1545pm,SW_Neo_Category_20,110.201980361773,111.125260904759,3600,1,Whistle1093
Exp_22_Nov_2019_1145am,SW_Neo_Category_20,1023.28396943513,1024.23279572621,3600,1,Whistle1126
Exp_22_Nov_2019_1145am,SW_Neo_Category_20,1031.28837792569,1032.21781382313,3600,1,Whistle1129
Exp_22_Nov_2019_1145am,SW_Neo_Category_20,1018.35335273473,1019.2627768185,3600,1,Whistle1132
Exp_22_Nov_2019_1245pm,SW_Neo_Category_20,419.916166433796,420.761168781024,3600,1,Whistle1143
Exp_23_Nov_2019_1545pm,SW_Neo_Category_20,704.883198535098,705.593509464746,3000,1,Whistle1173
Exp_16_Nov_2019_1345pm,SW_Neo_Category_20,723.142779347464,724.155510116695,3600,1,Whistle12
Exp_28_Nov_2019_1545pm,SW_Neo_Category_20,546.854021758956,547.601770450055,3000,1,Whistle1218
Exp_28_Nov_2019_1545pm,SW_Neo_Category_20,300.987723248568,301.640939809077,3000,1,Whistle1221
Exp_11_Jan_2020_0945am,SW_Neo_Category_20,1034.84868089729,1035.75254228343,3300,1,Whistle1238
Exp_11_Mar_2020_1145am,SW_Neo_Category_20,502.627497706728,503.409575332298,3000,1,Whistle1244
Exp_12_Mar_2020_1345pm,SW_Neo_Category_20,159.65318037233,160.600503167401,3000,1,Whistle1248
Exp_12_Mar_2020_1545pm,SW_Neo_Category_20,849.937833792779,850.831910715856,3000,1,Whistle1253
Exp_13_Dec_2019_1545pm,SW_Neo_Category_20,718.534098707008,719.462133641506,3300,1,Whistle1258
Exp_13_Dec_2019_1545pm,SW_Neo_Category_20,612.963141125059,613.781804226663,3300,1,Whistle1261
Exp_13_Dec_2019_1545pm,SW_Neo_Category_20,727.284040680766,728.087152925664,3300,1,Whistle1263
Exp_13_Dec_2019_1545pm,SW_Neo_Category_20,426.041118150724,426.416221599,3300,1,Whistle1265
Exp_14_Dec_2019_0945am,SW_Neo_Category_20,509.683464368316,510.646104368316,3300,1,Whistle1272
Exp_14_Dec_2019_0945am,SW_Neo_Category_20,525.418387012983,526.381549406146,3300,1,Whistle1273
Exp_14_Dec_2019_0945am,SW_Neo_Category_20,544.139099158487,545.09660903991,3300,1,Whistle1274
Exp_14_Dec_2019_0945am,SW_Neo_Category_20,529.287740565467,530.071547383649,3300,1,Whistle1276
Exp_14_Jan_2020_1545pm,SW_Neo_Category_20,567.868668784435,568.801677442444,3300,1,Whistle1296
Exp_14_Jan_2020_1545pm,SW_Neo_Category_20,606.473585715473,607.491797097587,3300,1,Whistle1297
Exp_17_Dec_2019_0945am,SW_Neo_Category_20,902.524481462836,903.410881462836,3300,1,Whistle13
Exp_15_Feb_2020_0945am,SW_Neo_Category_20,1323.0064450611,1324.01285531751,3300,1,Whistle1301
Exp_15_Jan_2020_0945am,SW_Neo_Category_20,354.492604050971,355.600813006195,3300,1,Whistle1309
Exp_15_Jan_2020_1545pm,SW_Neo_Category_20,434.848429648716,435.766274476302,3300,1,Whistle1333
Exp_15_Jan_2020_1545pm,SW_Neo_Category_20,685.341645876049,685.75201011446,3300,1,Whistle1334
Exp_15_Jan_2020_1545pm,SW_Neo_Category_20,706.408733608659,707.362096440517,3300,1,Whistle1335
Exp_16_Dec_2019_1545pm,SW_Neo_Category_20,371.976940511547,372.859054332685,3300,1,Whistle1348
Exp_16_Feb_2020_1345pm,SW_Neo_Category_20,903.746678894996,904.362688747213,3300,1,Whistle1361
Exp_16_Feb_2020_1545pm,SW_Neo_Category_20,347.268501352971,348.506032125142,3300,1,Whistle1375
Exp_16_Jan_2020_0945am,SW_Neo_Category_20,516.63959586838,517.101489807774,3300,1,Whistle1377
Exp_16_Jan_2020_1145am,SW_Neo_Category_20,56.0718371368802,57.1047828733143,3300,1,Whistle1379
Exp_16_Nov_2019_1345pm,SW_Neo_Category_20,716.303591501018,717.266859899286,3600,1,Whistle1392
Exp_16_Nov_2019_1345pm,SW_Neo_Category_20,693.476926880352,694.381871324797,3600,1,Whistle1393
Exp_16_Nov_2019_1345pm,SW_Neo_Category_20,530.471520156488,531.55642799059,3600,1,Whistle1395
Exp_17_Dec_2019_0945am,SW_Neo_Category_20,926.84014605205,927.76719586048,3300,1,Whistle1401
Exp_17_Dec_2019_1345pm,SW_Neo_Category_20,471.628294902302,472.740053312088,3300,1,Whistle1403
Exp_17_Dec_2019_1545pm,SW_Neo_Category_20,208.575632653432,209.660586357136,3300,1,Whistle1406
Exp_17_Feb_2020_1145am,SW_Neo_Category_20,703.108941266651,704.107089414799,3300,1,Whistle1410
Exp_17_Feb_2020_1345pm,SW_Neo_Category_20,726.040461036338,726.48713464745,3300,1,Whistle1420
Exp_17_Feb_2020_1545pm,SW_Neo_Category_20,152.487604767634,153.425419893684,3300,1,Whistle1428
Exp_17_Feb_2020_1545pm,SW_Neo_Category_20,613.098727697056,614.10181712795,3300,1,Whistle1429
Exp_17_Feb_2020_1545pm,SW_Neo_Category_20,275.007291330196,275.698948743222,3300,1,Whistle1430
